dranghek,dranghekken
scheuring,scheuringen
ouwelijk,ouwelijker
ouwelijk,ouwelijkste
verdubbeling,verdubbelingen
takenpakket,takenpakketten
kartelen,kartelden
kartelen,kartelde
kartelen,kartelende
kartelen,kartelt
kartelen,kartelend
kartelen,kartelen
ooievaarsnest,ooievaarsnesten
Seinebaai,seinebaai
terugslaan,teruggeslagen
terugslaan,terugsla
terugslaan,terugsloegen
terugslaan,terugsloeg
terugslaan,terugslaand
terugslaan,terugslaat
terugslaan,terugslaande
resoluut,resoluter
resoluut,resolutere
europarlementariër,europarlementariËr
europarlementariër,europarlementariërs
europarlementariër,europarlementariËrs
kwistig,kwistiger
kwistig,kwistigste
hofhouding,hofhoudingen
openvallen,openvielen
openvallen,openvalt
openvallen,opengevallen
openvallen,openviel
openvallen,openvallend
Saoedi-Arabië,saoedi-arabië
afleidingsmanoeuvre,afleidingsmanoeuvres
potsenmaker,potsenmakers
ongeletterd,ongeletterder
rooksalon,rooksalons
bijbelgenootschap,bijbelgenootschappen
vergasten,vergastten
vergasten,vergastte
vergasten,vergastend
medicament,medicamenten
koffiekop,koffiekopje
koffiekop,koffiekopjes
koffiekop,koffiekoppen
kortsluiten,kortsluit
kortsluiten,kortgesloten
kortsluiten,kortsluitend
kortsluiten,kortsloten
kortsluiten,kortsloot
tussentaal,tussentalen
scheepswrak,scheepswrakken
durfal,durfallen
lokomotief,lokomotieven
invloedssfeer,invloedssferen
kleindochter,kleindochters
magneet,magneten
magneet,magneetjes
derdewereldland,derdewereldlanden
Angolese,angolesen
Angolese,angolese
opmerking,opmerkingen
onhebbelijk,onhebbelijker
onhebbelijk,onhebbelijkste
klaproos,klaprozen
zolderverdieping,zolderverdiepingen
Tiranees,tiranezen
tehuis,tehuizen
vaccinatie,vaccinaties
schokker,schokkers
Noord-Hollands,noord-hollands
machtig,machtiger
machtig,machtigst
Hamilton,hamilton
voorbehouden,voorbehoudt
voorbehouden,voorbehield
voorbehouden,voorbehoudende
voorbehouden,voorbehoudend
voorbehouden,voorbehielden
databank,databanken
groot|groots,grootst
meedoen,meedoet
meedoen,meedoend
meedoen,meedeed
meedoen,meededen
meedoen,meedoe
meedoen,meegedaan
moesson,moessons
travellercheque,travellercheques
afrukken,afrukkende
afrukken,afruk
afrukken,afrukkend
afrukken,afrukten
afrukken,afgerukt
afrukken,afrukt
afrukken,afrukte
alzijdig,alzijdige
inspectieteam,inspectieteams
doorzeuren,doorzeurde
doorzeuren,doorzeur
doorzeuren,doorzeurden
doorzeuren,doorgezeurd
doorzeuren,doorzeurt
doorzeuren,doorzeurend
sentimenteel,sentimentelere
sentimenteel,sentimenteelst
sentimenteel,sentimenteler
omwenteling,omwentelingen
voorbericht,voorberichten
evolutionist,evolutionisten
ontsnapping,ontsnappingen
Gambiaans,gambiaans
wedstrijddag,wedstrijddagen
loopje,loopjes
controverse,controversen
controverse,controverses
onderwerpen,onderwerpt
onderwerpen,ondergeworpen
onderwerpen,onderwierpen
onderwerpen,onderwierp
onderwerpen,onderwerpend
kachel,kacheltje
kachel,kacheltjes
kachel,kachels
toestel,toestellen
Dominicaanse,dominicaansen
rebel,rebellen
vergassen|vergasten,vergast
trechtermond,trechtermonden
taakverdeling,taakverdelingen
onemanshow,onemanshows
FJF,fjf
sterk,sterkst
sterk,sterker
stern,sternen
stern,sterntjes
stern,sterns
stern,sterntje
levensgevaarlijk,levensgevaarlijkere
levensgevaarlijk,levensgevaarlijker
levensgevaarlijk,levensgevaarlijkst
ontzagwekkend,ontzagwekkender
ontzagwekkend,ontzagwekkendst
ontzagwekkend,ontzagwekkendste
watervogel,watervogels
illegaliteit,illegaliteiten
Veluwse,veluwsen
Veluwse,veluwse
ontstaan,ontstaand
ontstaan,ontstonden
ontstaan,ontsta
ontstaan,ontstaat
ontstaan,ontstond
marine,marines
constitutie,constituties
rijschoolhouder,rijschoolhouders
Oost-Vlaams,oost-vlaams
terugkoppelen,terugkoppelden
terugkoppelen,teruggekoppeld
terugkoppelen,terugkoppelde
terugkoppelen,terugkoppelt
terugkoppelen,terugkoppelend
terugkoppelen,terugkoppel
weergaaf|weergave,weergaves
onttrekken,onttrokken
onttrekken,onttrekkend
onttrekken,onttrek
onttrekken,onttrok
onttrekken,onttrekt
Kaboel,kaboel
wegkapen,wegkaap
wegkapen,weggekaapt
wegkapen,weggekaapte
wegkapen,wegkaapten
wegkapen,wegkaapte
wegkapen,wegkapend
wegkapen,wegkaapt
natuurmens,natuurmensen
duimstok,duimstokken
sakkeren,sakkert
sakkeren,sakkerden
sakkeren,gesakkerd
sakkeren,sakkerde
sakkeren,sakkerende
sakkeren,sakkerend
sakkeren,sakker
molenaar,molenaars
Dobroedzja,dobroedzja
opdweilen,opdweilde
opdweilen,opdweil
opdweilen,opgedweild
opdweilen,opgedweilde
opdweilen,opdweilt
opdweilen,opdweilden
roeivereniging,roeiverenigingen
handdoek,handdoeken
bodemloos,bodemlozere
bodemloos,bodemlozer
Kaukasiër,kaukasiërs
Kaukasiër,kaukasiër
Colombia,colombia
appelbloesem,appelbloesems
simpel,simpeltjes
simpel,simpelst
simpel,simpeler
accrediteren,accrediterend
accrediteren,geaccrediteerd
accrediteren,accrediteert
accrediteren,accrediteerde
accrediteren,accrediteerden
accrediteren,accrediteer
wang,wangetje
wang,wangen
wang,wangetjes
wand,wanden
ritselaar,ritselaars
tegenspartelen,tegenspartelend
tegenspartelen,tegenspartelt
tegenspartelen,tegenspartel
tegenspartelen,tegengesparteld
tegenspartelen,tegenspartelden
tegenspartelen,tegenspartelde
Staatsbosbeheer,staatsbosbeheer
hanenkam,hanenkammen
tuniek,tunieken
windmolen,windmolens
dankzeggen,dankzegden
dankzeggen,dankzegde
dankzeggen,dankzeg
dankzeggen,dankzei
dankzeggen,dankgezegd
dankzeggen,dankzegt
dankzeggen,dankzeggend
totempaal,totempalen
architectuur,architecturen
bewust,bewuster
prostituee,prostituees
benzinebom,benzinebommen
LH,lh
laurierblad,laurierblaadje
laurierblad,laurierblaren
laurierblad,laurierblaadjes
laurierblad,laurierbladen
laurierblad,laurierbladeren
waterschap,waterschappen
garantiebewijs,garantiebewijzen
bierbuik,bierbuiken
bouwverbod,bouwverboden
kalenderjaar,kalenderjaren
onvergefelijk,onvergefelijker
L.,l.
HEAO,heao
indrukken,ingedrukt
indrukken,indrukt
indrukken,indrukte
indrukken,indrukten
indrukken,indrukkend
nouveauté,nouveautés
nouveauté,nouveautÉs
stollen,stolde
stollen,stolt
stollen,stolden
stollen,gestold
stollen,stollend
oksel,okseltje
oksel,okseltjes
oksel,oksels
sudderen,gesudderd
sudderen,suddert
sudderen,sudderden
sudderen,sudderde
sudderen,sudderend
sudderen,sudder
uitdruipen,uitdruipende
uitdruipen,uitdruipt
uitdruipen,uitgedropen
uitdruipen,uitdruip
uitdruipen,uitdruipend
uitdruipen,uitdroop
polikliniek,poliklinieken
caisson,caissons
inhaalrace,inhaalraces
jubileumuitgave,jubileumuitgaven
jubileumuitgave,jubileumuitgaves
weken,wekend
weken,weekte
weken,weekten
weken,geweekt
weken,weekt
busonderneming,busondernemingen
kustgebergte,kustgebergten
kustgebergte,kustgebergtes
homofiel,homofielen
peut,peuten
afrossen,afrost
afrossen,afgerost
afrossen,afgeroste
afrossen,afroste
afrossen,afrosten
afrossen,afros
peuk,peukjes
peuk,peukje
peuk,peuken
peul,peultjes
peul,peulen
peul,peultje
Calabrees,calabrees
Calabrees,calabrezen
fis,fissen
landerig,landeriger
uitspatting,uitspattingen
vogelreservaat,vogelreservaten
fit,fitst
fit,fitter
gladjanus,gladjanussen
luchtstroming,luchtstromingen
recordjaar,recordjaren
zinsnede,zinsneden
anachronistisch,anachronistischer
projectontwikkelaar,projectontwikkelaars
overgangsrecht,overgangsrechten
lezenswaardig,lezenswaardigere
lezenswaardig,lezenswaardigste
lezenswaardig,lezenswaardigst
lezenswaardig,lezenswaardiger
paraat,parater
paraat,paratere
ensceneren,enscenerend
ensceneren,ensceneert
ensceneren,ensceneerde
ensceneren,ensceneer
ensceneren,geënsceneerd
ensceneren,ensceneerden
paraaf,parafen
inleveren,inleverden
inleveren,inlevert
inleveren,inleverend
inleveren,inleverde
inleveren,ingeleverd
inleveren,inleverende
inleveren,inlever
inbinden,inbond
inbinden,inbindende
inbinden,inbonden
inbinden,inbindend
inbinden,inbindt
inbinden,inbind
grijnzen,gegrijnsd
grijnzen,grijnsde
grijnzen,grijnsden
grijnzen,grijnst
afkondiging,afkondigingen
werkstation,werkstations
prelaat,prelaten
schatrijk,schatrijker
schatrijk,schatrijkste
knibbelen,knibbelden
knibbelen,knibbelt
knibbelen,geknibbeld
knibbelen,knibbelende
knibbelen,knibbelde
knibbelen,knibbelend
knibbelen,knibbel
zuil,zuiltjes
zuil,zuilen
zuil,zuiltje
rechtbuigen,rechtbuigt
rechtbuigen,rechtbogen
rechtbuigen,rechtgebogen
rechtbuigen,rechtbuigend
rechtbuigen,rechtboog
rechtbuigen,rechtbuig
uitschakelen,uitgeschakeld
uitschakelen,uitschakelt
uitschakelen,uitschakelend
uitschakelen,uitschakelden
uitschakelen,uitschakel
uitschakelen,uitschakelde
erudiet,erudieter
erudiet,erudietere
overtollig,overtolliger
Middeleeuwen,middeleeuwen
requisitoir,requisitoiren
requisitoir,requisitoirs
muziekkorps,muziekkorpsen
vooruitziend,vooruitziendere
vooruitziend,vooruitziendste
vooruitziend,vooruitziender
uitlezen,uitlezende
uitlezen,uitlezend
uitlezen,uitlees
uitlezen,uitlas
uitlezen,uitlazen
uitlezen,uitleest
ouderavond,ouderavonden
Bourgogne,bourgogne
hospitant,hospitanten
afdingen,afgedongen
afdingen,afding
afdingen,afdongen
afdingen,afdong
afdingen,afdingt
afdingen,afdingend
vensterbank,vensterbanken
adresband,adresbandjes
adresband,adresbanden
adresband,adresbandje
uitnemen,uitneemt
uitnemen,uitnamen
uitnemen,uitneem
uitnemen,uitnam
uitnemen,uitgenomen
geldmarkt,geldmarkten
uienschil,uienschillen
vuilophaaldienst,vuilophaaldiensten
gerechtsdeurwaarder,gerechtsdeurwaarders
regenzone,regenzones
jutten,gejut
jutten,jutte
jutten,juttend
jutten,juttende
jutten,jut
instructie,instructies
Laconisch,laconisch
emancipatieactiviteit,emancipatieactiviteiten
kinderboekenweek,kinderboekenweken
jumbojet,jumbojets
jaarmarkt,jaarmarkten
konfijten,gekonfijt
konfijten,konfijtten
konfijten,konfijtte
konfijten,konfijt
verstoren,verstoor
verstoren,verstoort
verstoren,verstoorden
verstoren,verstorend
Niger,niger
buffervoorraad,buffervoorraden
branieschopper,branieschoppers
protserig,protseriger
Piraeus,piraeus
boksen,boks
boksen,gebokst
boksen,gebokste
boksen,bokste
boksen,bokst
boksen,boksend
boksen,boksten
schoeien,schoeide
schoeien,schoeiden
schoeien,schoeit
schoeien,schoei
bokser,boksers
topontmoeting,topontmoetingen
wetenschapsfilosoof,wetenschapsfilosofen
service,services
meerkeuzetoets,meerkeuzetoetsen
duidelijk,duidelijkst
duidelijk,duidelijker
korting,kortingen
tegenzitten,tegengezeten
tegenzitten,tegenzit
tegenzitten,tegenzaten
tegenzitten,tegenzittend
tegenzitten,tegenzat
waterstand,waterstanden
stifttand,stifttanden
afvaardigen,afvaardigden
afvaardigen,afvaardigende
afvaardigen,afvaardigde
afvaardigen,afvaardigt
afvaardigen,afgevaardigd
afvaardigen,afvaardig
parmantig,parmantiger
peetoom,peetooms
peetoom,peetomen
kwantificering,kwantificeringen
gekleed,gekleder
gekleed,gekledere
gekleed,gekleedst
opschuiven,opschoof
opschuiven,opschuift
opschuiven,opschuivend
opschuiven,opschoven
opschuiven,opgeschoven
opschuiven,opschuif
hysterisch,hysterischere
hysterisch,hysterischer
Bourgondische,bourgondischen
drijfnet,drijfnetten
eerbiedig,eerbiediger
eerbiedig,eerbiedigst
sociolinguïst,sociolinguïsten
soldaat,soldaten
schuur,schuurtje
schuur,schuurtjes
vloedstroom,vloedstromen
dilettant|dilettante,dilettanten
wandrek,wandrekken
koolmees,koolmeesjes
koolmees,koolmeesje
koolmees,koolmezen
spectrum,spectra
spectrum,spectrums
nierziekte,nierziektes
nierziekte,nierziekten
stiksel,stikseltje
stiksel,stiksels
stiksel,stikseltjes
thuishaven,thuishavens
Slowaakse,slowaakse
vlijmscherp,vlijmscherper
gifkikker,gifkikkers
knallen,knallend
knallen,knalt
knallen,geknald
knallen,knalde
knallen,knalden
hymen,hymens
schrijden,schrijd
schrijden,schrijdend
schrijden,geschreden
schrijden,schrijdt
schrijden,schreed
razeil,razeilen
theehuis,theehuizen
V-vormig,v-vormig
V-vormig,v-vormiger
Andorrees,andorrezen
Andorrees,andorrees
vreemdelingenwet,vreemdelingenwetten
affaire,affaires
knaller,knallers
informaticus,informatici
laserprinter,laserprinters
uitvoerverbod,uitvoerverboden
verbluffen,verbluf
verbluffen,verbluften
platteland,plattelande
achteruitgang,achteruitgangen
eindsprint,eindsprinten
eindsprint,eindsprints
oefenwedstrijd,oefenwedstrijden
hachje,hachjes
getuigenis,getuigenissen
atheïsme,atheÏsme
loswringen,loswringt
loswringen,losgewrongen
loswringen,loswringend
loswringen,loswrong
hebbeding,hebbedingen
hebbeding,hebbedingetje
hebbeding,hebbedingetjes
achterkajuit,achterkajuiten
pompeus,pompeuzer
pompeus,pompeuzere
singel,singeltje
singel,singels
singel,singeltjes
thuiskomen,thuisgekomen
thuiskomen,thuiskom
thuiskomen,thuiskomend
thuiskomen,thuiskomt
thuiskomen,thuiskwamen
thuiskomen,thuiskwam
lijflied,lijfliederen
orkestbak,orkestbakken
pandjeshuis,pandjeshuizen
gezagvoerder,gezagvoerders
paddel,paddeltje
paddel,paddeltjes
paddel,paddels
heksentoer,heksentoeren
verhaaltechniek,verhaaltechnieken
thuisfront,thuisfronten
transportsysteem,transportsystemen
platspuiten,platspoten
platspuiten,platspuit
platspuiten,platgespoten
platspuiten,platspoot
omstralen,omstraalt
omstralen,omstraalden
omstralen,omstraal
omstralen,omstraald
omstralen,omstralend
spijtoptant,spijtoptanten
liederlijk,liederlijker
liederlijk,liederlijkst
rechttrekken,rechttrokken
rechttrekken,rechttrek
rechttrekken,rechttrok
rechttrekken,rechttrekt
rechttrekken,rechttrekkende
rechttrekken,rechttrekkend
rechttrekken,rechtgetrokken
inwikkelen,inwikkel
inwikkelen,inwikkelend
inwikkelen,inwikkelden
inwikkelen,inwikkelde
inwikkelen,inwikkelt
overgevoeligheid,overgevoeligheden
onterecht,onterechtere
onterecht,onterechter
lijfarts,lijfartsen
boeman,boemannen
populair,populairder
populair,populairst
lange-afstandsloper,lange-afstandslopers
face-lift,face-lifts
muziekinstrument,muziekinstrumenten
onverlaat,onverlaten
onwelgevallig,onwelgevalliger
twistziek,twistzieker
leren,lerend
leren,leerde
leren,leert
leren,leerden
afraden,afraadde
afraden,afrieden
afraden,afgeraden
afraden,afraad
afraden,afradend
afraden,afraadden
afraden,afraadt
afraden,afried
kapitaal,kapitalen
kapitaal,kapitaaltje
kapitaal,kapitaaltjes
coördinatrice,coördinatrices
rayonhoofd,rayonhoofden
Zaïrees,zaïrees
Zaïrees,zaïrezen
gelieven,gelieft
gelieven,gelievend
gelieven,gelief
afslag,afslagen
heuvelig,heuveliger
traktaat,traktaten
regenpijp,regenpijpen
blauwhelm,blauwhelmen
salariëren,salarieert
salariëren,salarieerde
salariëren,gesalarieerd
opvijzelen,opvijzelende
opvijzelen,opvijzelt
opvijzelen,opvijzel
